id,host_id,host_name,neighbourhood,room_type,price,minimum_nights,number_of_reviews,availability_365,airbnb_name,star,bedrooms,beds,baths
138211,674917,Julie,Sawtelle,Entire home/apt,150,31,517,302,Guesthouse in Los Angeles,4.76,1,2,1
138244,675083,Alejandra,Atwater Village,Entire home/apt,145,30,97,338,Guesthouse in Los Angeles,4.79,1,1,1
146845,709835,Marwan,Shadow Hills,Private room,90,2,32,158,Home in Los Angeles,4.94,1,1,1
50005,49391,Michelle,Hollywood,Entire home/apt,115,30,149,179,Guesthouse in Los Angeles,4.80,2,1,1
51307,235568,David,Atwater Village,Entire home/apt,75,30,137,267,Bungalow in Los Angeles,4.64,1,1,1
51498,236758,Bay,Mar Vista,Entire home/apt,149,2,413,356,Guesthouse in Los Angeles,4.74,0,1,1
51546,237114,Elen,Hollywood Hills,Entire home/apt,105,31,192,357,Rental unit in Los Angeles,4.92,1,2,1
153412,737626,Kaj,Venice,Entire home/apt,175,30,58,44,Home in Los Angeles,4.73,2,2,1
164946,57161,Jefferson,Downtown,Private room,43,2,76,356,Hostel in Los Angeles,4.37,2,1,11
53945,239905,Michael,Carthay,Entire home/apt,135,31,142,365,Rental unit in Beverly Hills,4.78,1,1,1
165978,294812,Arna & Terri,Fairfax,Entire home/apt,173,30,22,365,Rental unit in Los Angeles,4.64,2,2,2
61578,298123,Michael,Venice,Entire home/apt,417,30,25,185,Condo in Los Angeles,4.92,2,2,2
61582,298216,Robin,Glassell Park,Entire home/apt,86,30,14,124,Home in Los Angeles,4.93,0,1,1
217666,799408,TravelArtist,Fairfax,Entire home/apt,68,30,87,220,Rental unit in Los Angeles,4.85,1,2,1
181511,870087,Martineke,Elysian Valley,Entire home/apt,140,30,43,333,Rental unit in Los Angeles,4.95,1,3,1
217971,1126652,Len,Pacific Palisades,Entire home/apt,218,30,111,29,Home in Santa Monica,4.94,1,3,1
184314,884031,Ashley,Venice,Entire home/apt,125,30,28,0,Rental unit in Marina del Rey,4.88,1,1,1
221502,1149254,Grant,Koreatown,Private room,62,30,30,0,Rental unit in Los Angeles,4.88,1,2,1.5
222200,1124533,Cam + RD,Venice,Entire home/apt,899,4,94,337,Home in Venice,4.90,5,9,3
185557,890778,Laura,Westchester,Private room,85,30,13,173,Home in Los Angeles,4.92,1,1,1
223171,1159294,Mats,Silver Lake,Entire home/apt,277,2,43,84,Home in Los Angeles,4.73,2,3,1.5
226517,1180987,Osiris,San Pedro,Private room,38,31,119,261,Home in Los Angeles,4.85,1,1,2
188081,905689,Daniel,Hollywood Hills,Entire home/apt,60,30,0,0,Home in Los Angeles,5 bedrooms,,3,2.5
191733,1597048,Shelli-Anne,Atwater Village,Entire home/apt,120,30,89,327,Guesthouse in Los Angeles,4.88,1,3,1
229209,798894,Jodea,Century City,Private room,100,30,125,0,Home in Los Angeles,4.72,1,1,1
194809,946246,Michelle,Palms,Entire home/apt,59,30,22,0,Rental unit in Los Angeles,4.40,1,1,1
229799,3392276,Amir,West Los Angeles,Entire home/apt,55,30,36,212,Rental unit in Los Angeles,4.50,1,2,1
195229,393829,Debra,Mar Vista,Private room,129,30,38,365,Home in Los Angeles,4.92,1,1,1
196410,78804,Sophie,Echo Park,Entire home/apt,130,30,60,0,Rental unit in Los Angeles,4.78,1,1,1
236831,195656,Leanna,Van Nuys,Private room,40,1,115,25,Home in Los Angeles,4.54,1,1,2
197756,964494,Artemis,Silver Lake,Entire home/apt,135,30,143,250,Condo in Los Angeles,4.73,1,2,1
237985,1247886,Megan,Venice,Entire home/apt,699,31,168,179,Bungalow in Los Angeles,4.90,1,1,1
198613,969656,Jeffrey,Fairfax,Entire home/apt,85,31,16,306,Bungalow in Los Angeles,5.0,1,1,1
237988,1247886,Megan,Venice,Entire home/apt,1499,30,102,89,Home in Los Angeles,4.94,2,5,2.5
203991,231825,Lisa,Sawtelle,Entire home/apt,105,30,3,353,Condo in Santa Monica,4.67,1,1,1
241906,1242157,Catherine,Studio City,Private room,200,30,0,0,Rental unit in Los Angeles,1 bedroom,,,
206662,33861,Kevin,Hollywood Hills West,Private room,54,30,96,89,Condo in Los Angeles,4.83,1,2,1
210489,76111,Joy,Pico-Robertson,Entire home/apt,340,31,14,267,Townhouse in Los Angeles,4.57,3,5,3
214533,1036375,Gil,Hollywood,Entire home/apt,165,33,3,33,Rental unit in Los Angeles,5.0,1,1,1
215161,1111042,Thomasina,Venice,Entire home/apt,201,31,231,336,Bungalow in Marina del Rey,4.91,1,1,1
254259,1335578,Derek,Venice,Entire home/apt,202,2,583,254,Guest suite in Los Angeles,4.94,1,1,1
312387,1606040,Vanessa,Broadway-Manchester,Entire home/apt,169,3,187,346,Home in Los Angeles,4.86,2,2,1
254320,343842,Jane,Studio City,Entire home/apt,200,30,175,258,Guesthouse in Los Angeles,4.91,1,2,1
254844,1338512,Kasia,Beverly Crest,Entire home/apt,713,3,229,347,Home in Los Angeles,4.58,2,2,2.5
255656,1343997,Hollywood,Hollywood,Entire home/apt,98,30,22,321,Rental unit in Los Angeles,4.55,1,2,1
321179,1645296,Emmy,Silver Lake,Entire home/apt,175,30,12,0,Rental unit in Los Angeles,4.67,2,3,1
321599,1111042,Thomasina,Venice,Entire home/apt,202,31,180,265,Bungalow in Marina del Rey,4.93,1,1,1
255701,1343997,Hollywood,Hollywood,Entire home/apt,169,30,25,339,Rental unit in Los Angeles,4.08,2,4,1
255709,1248316,Bo,Silver Lake,Private room,83,1,97,326,Home in Los Angeles,4.72,1,,1
256182,279548,Rich,Silver Lake,Entire home/apt,125,30,0,0,Rental unit in Los Angeles,1 bedroom,,1,1
326787,34583,Elaine,Hollywood,Private room,110,30,181,365,Home in Los Angeles,4.86,1,1,1
257003,460675,Steve,Hollywood Hills,Entire home/apt,915,30,62,76,Home in Los Angeles,4.89,2,2,1.5
327934,1675880,Tim,North Hollywood,Private room,59,30,0,0,Rental unit in Los Angeles,1 bedroom,,1,1
